Timestamp,Source,Destination,Operation,Status
2025-06-27 04:53:39,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\clip.avi,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\Videos\clip.avi,move,success
2025-06-27 04:53:39,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\movie.mp4,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\Videos\movie.mp4,move,success
2025-06-27 04:53:39,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\video.mkv,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\Videos\video.mkv,move,success
2025-06-27 04:53:39,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\custom.abc,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\Miscellaneous\custom.abc,move,success
2025-06-27 04:53:39,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\unknown.xyz,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\Miscellaneous\unknown.xyz,move,success
2025-06-27 04:53:39,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\document.pdf,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\Documents\document.pdf,move,success
2025-06-27 04:53:39,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\notes.txt,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\Documents\notes.txt,move,success
2025-06-27 04:53:39,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\report.docx,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\Documents\report.docx,move,success
2025-06-27 04:53:39,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\icon.ico,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\Images\icon.ico,move,success
2025-06-27 04:53:39,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\image.png,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\Images\image.png,move,success
2025-06-27 04:53:39,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\photo1.jpg,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\Images\photo1.jpg,move,success
2025-06-27 04:53:39,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\picture.gif,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\Images\picture.gif,move,success
2025-06-27 04:53:39,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\script.py,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\Code\script.py,move,success
2025-06-27 04:53:39,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\styles.css,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\Code\styles.css,move,success
2025-06-27 04:53:39,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\webpage.html,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\Code\webpage.html,move,success
2025-06-27 04:53:39,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\Code\webpage.html,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\webpage.html,undo,success
2025-06-27 04:53:39,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\Code\styles.css,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\styles.css,undo,success
2025-06-27 04:53:39,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\Code\script.py,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\script.py,undo,success
2025-06-27 04:53:39,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\Images\picture.gif,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\picture.gif,undo,success
2025-06-27 04:53:39,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\Images\photo1.jpg,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\photo1.jpg,undo,success
2025-06-27 04:53:39,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\Images\image.png,C:\Users\33638\AppData\Local\Temp\tmpugr_79lm\image.png,undo,success
